이름,평점,리뷰수,주소,대표메뉴,가격,분류,링크
잠실백정,4.3,999+,서울 송파구 백제고분로7길 28-7 해경빌딩 1층,,,삼겹살,https://place.map.kakao.com/947261616
구주 잠실새내점,4.3,536,"서울 송파구 백제고분로7길 28-12 1, 2층",진격의구주도넛,31500,일식,https://place.map.kakao.com/1458520675
토우지,4.6,157,서울 송파구 백제고분로7길 32-8,동파육나베,25000,일본식주점,https://place.map.kakao.com/1924341190
후발대 잠실직영점,4.5,64,서울 송파구 올림픽로12길 4-23 1층,한돈황토생목살,13900,"육류,고기",https://place.map.kakao.com/1747047105
잠실나그네,4.4,33,서울 송파구 백제고분로9길 50 1층,(시그니처)채감자전,14000,실내포장마차,https://place.map.kakao.com/8508283
룸카페바니 잠실점,4.3,15,서울 송파구 올림픽로10길 21 2층,,,테마카페,https://place.map.kakao.com/1344660600
아토토루,4.0,5,서울 송파구 백제고분로7길 42-25 1층,로얄코스(1인),48000,일식,https://place.map.kakao.com/27514643
홍코너 신천새마을시장점,4.6,3,서울 송파구 석촌호수로12길 23 1층,옛날떡볶이,3000,떡볶이,https://place.map.kakao.com/26062948
봉봉샌드위치,4.7,31,서울 송파구 석촌호수로12길 30 1층 101호,반미샌드위치 (닭고기),8000,샌드위치,https://place.map.kakao.com/467942632
동래정 잠실새내점,4.2,181,서울 송파구 백제고분로9길 51 1층,정가브리(1인분),16000,"육류,고기",https://place.map.kakao.com/2130379074
모나모나,4.6,31,서울 송파구 백제고분로19길 26 1층,도쿄딸기/망고 4호 케이크,68000,"제과,베이커리",https://place.map.kakao.com/786480051
오아시스,4.2,8,서울 송파구 백제고분로7길 24-17 지하1층,마른 안주,20000,칵테일바,https://place.map.kakao.com/15251568
토리아에즈 잠실새내점,4.8,46,서울 송파구 백제고분로17길 55 1층,쯔쿠네,4500,일본식주점,https://place.map.kakao.com/1827198361
어부바,4.1,61,서울 송파구 백제고분로7길 52-24 1층,활어세트A,40000,회,https://place.map.kakao.com/2005163798
신선계,5.0,83,서울 송파구 백제고분로9길 40,치즈한판숯불닭갈비(2인),33000,닭요리,https://place.map.kakao.com/1825978424
용용선생 잠실새내점,4.5,55,서울 송파구 백제고분로7길 24 1층,고추바삭유림기,18900,중식,https://place.map.kakao.com/1942174641
